run_index,algorithm,scenario,scenario_path,seed,best_cost,total_evaluations,runtime_seconds,population_size,generations,elite_count,tournament_size,step_size,crossover_imports,mutation_count,log_every,record_mean,iterations,max_attempts_per_iteration,restarts
1,ga,01.xml,../Scenarios/01.xml,69,0.0006584288564258042,56,281.3815019999747,8,8,2,3,50.0,10,10,0,True,,,
2,ga,01.xml,../Scenarios/01.xml,420,0.0006586704218648587,56,270.46908290003194,8,8,2,3,50.0,10,10,0,True,,,
3,ga,01.xml,../Scenarios/01.xml,2810,0.0006588264346771509,56,271.50794540002244,8,8,2,3,50.0,10,10,0,True,,,
4,ga,01.xml,../Scenarios/01.xml,9999,0.0006588109508193865,56,295.0405493999715,8,8,2,3,50.0,10,10,0,True,,,
5,ga,01.xml,../Scenarios/01.xml,2026,0.0006592718414332119,56,276.833196600026,8,8,2,3,50.0,10,10,0,True,,,
6,ga,01.xml,../Scenarios/01.xml,666,0.0006583762037270768,56,279.2853662999696,8,8,2,3,50.0,10,10,0,True,,,
7,ga,01.xml,../Scenarios/01.xml,777,0.0006580936327392323,56,276.39294780005,8,8,2,3,50.0,10,10,0,True,,,
8,ga,01.xml,../Scenarios/01.xml,12345,0.0006591328912188687,56,280.22649359999923,8,8,2,3,50.0,10,10,0,True,,,
9,ga,01.xml,../Scenarios/01.xml,1612,0.0006584988886706015,56,280.59431179997046,8,8,2,3,50.0,10,10,0,True,,,
10,ga,01.xml,../Scenarios/01.xml,2712,0.0006586382225891883,56,247.7488365000463,8,8,2,3,50.0,10,10,0,True,,,
11,hc,01.xml,../Scenarios/01.xml,69,0.0006598502067208686,45,189.25031879998278,,,,,50.0,,,0,,25,5,
12,hc,01.xml,../Scenarios/01.xml,420,0.0006578341799142167,55,214.11220989999129,,,,,50.0,,,0,,25,5,
13,hc,01.xml,../Scenarios/01.xml,2810,0.0006595739893936329,51,199.5065462999628,,,,,50.0,,,0,,25,5,
14,hc,01.xml,../Scenarios/01.xml,9999,0.0006601167393298646,52,204.12033559998963,,,,,50.0,,,0,,25,5,
15,hc,01.xml,../Scenarios/01.xml,2026,0.0006595063905693616,38,149.0489967999747,,,,,50.0,,,0,,25,5,
16,hc,01.xml,../Scenarios/01.xml,666,0.0006587341726607932,52,203.80808619997697,,,,,50.0,,,0,,25,5,
17,hc,01.xml,../Scenarios/01.xml,777,0.0006603018701117189,48,188.71390670002438,,,,,50.0,,,0,,25,5,
18,hc,01.xml,../Scenarios/01.xml,12345,0.0006607940523706728,54,211.25741810002364,,,,,50.0,,,0,,25,5,
19,hc,01.xml,../Scenarios/01.xml,1612,0.0006598421182182586,52,203.30083309998736,,,,,50.0,,,0,,25,5,
20,hc,01.xml,../Scenarios/01.xml,2712,0.0006594274426605824,49,192.40306829998735,,,,,50.0,,,0,,25,5,
21,shc,01.xml,../Scenarios/01.xml,69,0.000660001608657043,38,149.34890300000552,,,,,50.0,,,0,,40,,
22,shc,01.xml,../Scenarios/01.xml,420,0.0006582204031531393,36,141.16102010000031,,,,,50.0,,,0,,40,,
23,shc,01.xml,../Scenarios/01.xml,2810,0.0006596626699568411,37,144.95153110002866,,,,,50.0,,,0,,40,,
24,shc,01.xml,../Scenarios/01.xml,9999,0.0006602311076277425,36,141.12637419998646,,,,,50.0,,,0,,40,,
25,shc,01.xml,../Scenarios/01.xml,2026,0.0006595063905693616,38,149.6549692999688,,,,,50.0,,,0,,40,,
26,shc,01.xml,../Scenarios/01.xml,666,0.0006590613274399478,33,128.8144675999647,,,,,50.0,,,0,,40,,
27,shc,01.xml,../Scenarios/01.xml,777,0.0006606208379661185,36,141.12326099997154,,,,,50.0,,,0,,40,,
28,shc,01.xml,../Scenarios/01.xml,12345,0.000660953314025624,35,137.0109756999882,,,,,50.0,,,0,,40,,
29,shc,01.xml,../Scenarios/01.xml,1612,0.0006599699868311271,38,149.41594750003424,,,,,50.0,,,0,,40,,
30,shc,01.xml,../Scenarios/01.xml,2712,0.0006595838651151144,33,132.24742500000866,,,,,50.0,,,0,,40,,
31,rrhc,01.xml,../Scenarios/01.xml,69,0.0006591170796849688,47,181.72526569996262,,,,,50.0,,,0,,5,5,4
32,rrhc,01.xml,../Scenarios/01.xml,420,0.0006587666860438299,48,184.99699469999177,,,,,50.0,,,0,,5,5,4
33,rrhc,01.xml,../Scenarios/01.xml,2810,0.0006596193710806649,43,166.70051280001644,,,,,50.0,,,0,,5,5,4
34,rrhc,01.xml,../Scenarios/01.xml,9999,0.0006592976645494139,42,162.57261139998445,,,,,50.0,,,0,,5,5,4
35,rrhc,01.xml,../Scenarios/01.xml,2026,0.0006601825921489224,53,204.79790229996433,,,,,50.0,,,0,,5,5,4
36,rrhc,01.xml,../Scenarios/01.xml,666,0.0006600769601374087,32,123.05097470001783,,,,,50.0,,,0,,5,5,4
37,rrhc,01.xml,../Scenarios/01.xml,777,0.0006596670632145363,45,174.00843919999897,,,,,50.0,,,0,,5,5,4
38,rrhc,01.xml,../Scenarios/01.xml,12345,0.0006594950855404753,50,193.0239658000064,,,,,50.0,,,0,,5,5,4
39,rrhc,01.xml,../Scenarios/01.xml,1612,0.0006591768900101042,38,146.32090330001665,,,,,50.0,,,0,,5,5,4
40,rrhc,01.xml,../Scenarios/01.xml,2712,0.0006594317597917717,44,170.07118969998555,,,,,50.0,,,0,,5,5,4
